Response number,Speaker,Content
1,LYNDON JOHNSON,"I have today ordered to Vietnam the Air Mobile Division and certain other forces which will raise our fighting strength from 75,000 to 125,000 almost immediately. This will make it necessary to increase our active fighting forces by raising the monthly draft from 17,000 to 35,000 per month."
2,YOUNG MAN,June 3rd. All those whose birthday falls on June 3rd--
3,REPORTER #1,"President Johnson announced new monthly draft totals increasing to 35,000 per month--"
4,REPORTER #2,"43,000 per month--"
5,REPORTER #3,"51,000 per month--"
6,REPORTER #4,"382,386 men between the ages of 18 and 24 have now been called to duty. 2."
7,MARTIN LUTHER KING,It should be incandescently clear that no one who has any concern for the integrity of life in America today can ignore the present war--
8,MARTIN LUTHER KING,"If America's soul becomes poisoned, part of the autopsy must read ""Vietnam"","
9,ROBERT KENNEDY,"What we need in the United States is not hatred, but love and wisdom. So I ask you to return home and say a prayer for the family of Martin Luther King."
10,YOUNG MAN,April 22nd. All those whose birthday falls on April 22nd--
11,RENNIE,We were there.
12,RENNIE,"We didn't see Vietnamese soldiers. What we saw were population centers. Schoolhouses, pagodas, women and children."
13,RENNIE,And that's American napalm. The women and children were burned alive. Tom?
14,TOM,The Democratic Party is going to nominate Hubert Humphrey next month in Chicago.
15,TOM,"When it comes to the war, when it comes to social justice, there's simply not enough of a difference between Hubert Humphrey and Richard Nixon to make a difference."
16,TOM,And so we're going to Chicago.
17,TOM,Young people by busloads will go to Chicago to show our solidarity and our disgust and most importantly--
18,ABBIE,--to get laid by someone you just met.
19,JERRY,"536,000 of us sent to a country not one of these bumper sticker patriots in Washington could find on a map with a motherfuckin' map!"
20,ABBIE,"We're going to Chicago. Anyone who stays in the park, sings Woody Guthrie, they're gonna be fine. But the cops are gonna be a half-inch from losin' their fuckin' minds 'cause Daley's gonna wind 'em up to make sure of it. We're goin' to Chicago peacefully. We're going peacefully, but if we're met there with violence, you better believe we're gonna meet that violence with- - 5."
21,DAVE,Non-violence. Always non-violence and that's without exception.
22,SON,What if the police start hitting you?
23,DAVE,Why would the police start hitting me?
24,SON,What if they do?
25,DAVE,I'll duck.
26,MRS. DELLINGER,David. He watches the news.
27,DAVE,Why?
28,MRS. DELLINGER,You taught him to!
29,DAVE,Guys. I've organized a hundred protests. This one isn't going to be any different in that it almost certainly won't work. The police--
30,MRS. DELLINGER,I'm not worried about the police. And I'm not worried about Hayden and Rennie Davis. I'm worried about Hoffman and Rubin. 6.
31,DAVE,"It's the Democratic National Convention, honey, every camera in America is gonna be pointed at it and Daley isn't gonna let his city become a theater of war. And Hoffman and Rubin are geniuses...in their own special way."
32,MRS. DELLINGER,Oh Jesus--
33,DAVE,(re the SON) He's got a Scout meeting tonight at 7.
34,SON,Dad--
35,DAVE,"If the police try to arrest me I'll do what I always do and what I've taught you to do, which is what? (beat) Which is what? Tell me, bud."
36,SON,Very calmly and very politely--
37,BOBBY,Fuck the motherfuckers up.
38,BOBBY,"They leave us alone and everything's cool. They tangle, disrupt, intimidate, they play it fast and loose with the First Amendment--"
39,SONDRA,Robert--
40,BOBBY,"--they start breaking heads, then no, we will not be on our way. 7."
41,SONDRA,You can't give this speech in Chicago.
42,BOBBY,Fred Hampton wants me there.
43,SONDRA,Let Fred give the speech.
44,BOBBY,Between Hayden and Hoffman there could be five-thousand people. It'd be nice to talk to five-thousand people.
45,SONDRA,Not while you're in trouble in Connecticut.
46,BOBBY,"Yes while I'm in trouble in--I'm the head of the Black Panthers, Sondra, when the hell am I not gonna be in trouble?!"
47,SONDRA,"You're gonna be in a lot more of it if you stand up and say ""Fry the pigs""!"
48,BOBBY,"""If they attack you"", you're taking it out of context."
49,SONDRA,"So will every white person in America, cops won't give a shit about context and you don't have enough protection in Chicago!"
50,BOBBY,There's no place to be right now but in it.
51,SONDRA,But fry the pigs? 8.
52,BOBBY,"""IF THEY--"
53,SONDRA,Dr. King--
54,BOBBY,"--is dead! He has a dream? Well now he has a fuckin' bullet in his head. Martin's dead. Malcolm's dead. Medgar's dead. Bobby's dead. Jesus is dead. They tried it peaceful. We're gonna try something else. (pause) Sondra, I'll be there for four hours, that's it."
55,SONDRA,You at least gonna take one of these?
56,BOBBY,If I knew how to use that I wouldn't need to make speeches.
57,JERRY,It's named after the Russian Commissar Vyacheslav Mikhailovich Molotov. You start with a glass bottle.
58,JERRY,"You pack the styrofoam, and now your cherry bomb..."
59,JERRY,Some chewing gum around the top.
60,JERRY,And a fuse.
61,STUDENT,Now!
62,TOM,(calling) Is that Jerry? 10.
63,RENNIE,Yeah.
64,TOM,Tell him to tell Abbie that we're going to Chicago to end the war and not to fuck around.
65,RENNIE,(into phone) Tom says to tell Abbie that we're going to Chicago to end the war and not to fuck around.
66,JERRY,Hayden says we're going to Chicago to end the war and not to fuck around.
67,ABBIE,Tell Hayden I went to Brandeis and I can do both.
68,ABBIE,"People say, you know, Abbie, are you concerned about an overreaction from the cops?"
69,DALEY,I have issued by an order to shoot to kill any arsonist or anyone with a Molotov cocktail in his hand. 11.
70,ABBIE,We're not concerned about it.
71,REPORTER #5,"Four units of the Illinois National Guard, totaling 5000 troops, have been deployed to Chicago--"
72,ABBIE,We're counting on it.
73,TOM,"We want to underscore again that we're coming to Chicago peacefully, but whether we're given permits or not, we're coming."
74,REPORTER #6,"An additional 10,000 Chicago police officers, including riot squads--"
75,DAVE,"We are not going to storm the Convention with tanks or mace, but we are going to storm the hearts and minds of the American people. 12."
76,GOVERNMENT OFFICIAL,These people are revolutionaries bent on the destruction of the United States of America.
77,WALTER CRONKITE,A Democratic Convention is about to begin...in a police state. There just doesn't seem to be any other way to say it.
78,SECRETARY,You've arrived at a moment in history. 13.
79,SCHULTZ,(pause) Pardon me?
80,SECRETARY,(pointing) They're changing the picture.
81,HOWARD,Tom.
82,FORAN,Howard.
83,HOWARD,You flew in alright?
84,FORAN,Sure.
85,HOWARD,Richard Schultz?
86,SCHULTZ,Yes sir.
87,HOWARD,"Howard Ackerman, Special Advisor to the Attorney General."
88,SCHULTZ,Pleased to meet you.
89,HOWARD,Were you told what this is about?
90,SCHULTZ,"No sir. Just to meet Mr. Foran at O'Hare this morning, that we were flying to Washington and that we were meeting Mr. Mitchell. 14."
91,HOWARD,Good. (noticing) They're finally changing the goddamn picture. C'mon in.
92,MITCHELL,"As a matter of courtesy and tradition, when we elect a new president, the outgoing cabinet members resign to spare the new president the unpleasantness of firing them. You know when President Nixon received Ramsey Clark's formal letter of resignation?"
93,SCHULTZ,"No, sir."
94,MITCHELL,"About an hour before I was confirmed. That was to embarrass me. I don't know, I think it was more embarrassing for Ramsey Clark. I'm John Mitchell."
95,FORAN,"Thomas Foran, Mr. Attorney General, and this is Richard Schultz."
96,MITCHELL,"Richard, Chicago was more fucked up than any ten things I've ever seen in my life."
97,SCHULTZ,Sir?
98,HOWARD,The convention. The riots.
99,SCHULTZ,Yes sir. 15.
100,SCHULTZ,"Well as a matter of fact, sir, we don't believe any federal laws were broken last summer. Mr. Foran had our office run a thorough investigation. Plenty of trespassing, destruction of public property, lewd behavior I suppose, but--"
101,SCHULTZ,...nothing rising to the level of--
102,MITCHELL,Do you think you and your boss are in the Attorney General's office because I want you to seek an indictment for violating a federal trespassing law?
103,SCHULTZ,"Sir, our office wasn't aware the Justice Department wanted to seek any indictments at all."
104,MITCHELL,We do.
105,SCHULTZ,Ramsey Clark was dead set against bringing federal--
106,MITCHELL,"Ramsey Clark doesn't run the Justice Department anymore, did you hear about that? And Mr. Johnson's back home in Texas."
107,SCHULTZ,"Of course, sir."
108,MITCHELL,"One hour before my confirmation hearing gaveled, that's when he resigned. What a prick."
109,SCHULTZ,"It was unprofessional, sir. 17."
110,MITCHELL,"Unprofessional, it was unpatriotic. And I'll tell you what else--it was impolite. There's such a thing as manners. I want to bring back manners, how 'bout that. The America I grew up in. Will you help me, Mr. Schultz? 'Cause I asked Mr. Foran who was the best prosecutor in his office and he said you."
111,SCHULTZ,Thank you.
112,HOWARD,Section 2101 of Title 18.
113,MITCHELL,That's the federal law that was broken.
114,SCHULTZ,That's the Rap Brown law.
115,HOWARD,Conspiracy to Cross State Lines in Order to Incite Violence. It comes with a ten-year maximum and we want all ten.
116,SCHULTZ,"For whom, sir?"
117,HOWARD,The all-star team.
118,SCHULTZ,"Abbie Hoffman, Jerry Rubin, Tom Hayden, Rennie Davis, Dave Dellinger, Lee Weiner, John Froines...and Bobby Seale?"
119,MITCHELL,"I call them the schoolboys, and when I do, everyone here knows who I'm talking about. Petulant and dangerous. (MORE) 18."
120,MITCHELL,"And we've watched for a decade while these rebels without a job who've never bothered to get their hands dirty fighting the enemy tell us how to prosecute a war. The decade's over, the grown-ups are back and I deem these shitty little fairies to be a threat to national security so they're gonna spend their 30's in a federal facility. Real time."
121,FORAN,"You're lead prosecutor, Richard. You understand why I couldn't tell you until we got here."
122,SCHULTZ,Sure. Yes sir.
123,HOWARD,"Richard, you're being given the ball, are you ready to do this?"
124,SCHULTZ,You pay me for my opinion.
125,MITCHELL,What?
126,SCHULTZ,"I said, sir, you pay me for my opinion?"
127,MITCHELL,"Where did you learn that, in class? I pay you to win."
128,SCHULTZ,I'm not sure we can get a good indictment on conspiracy.
129,MITCHELL,Why not?
130,SCHULTZ,"For one thing, some of these people had never met each other."
131,MITCHELL,Telephones. 19.
132,SCHULTZ,(beat) Yes sir.
133,FORAN,(quietly) You didn't show a lot of gratitude in there.
134,SCHULTZ,"(quietly) On top of everything else, we're giving them exactly what they want-- a stage and an audience."
135,FORAN,You really think it's going to be a big audience?
136,CROWD,The whole world is watching! The whole world is watching! The whole world is watching!...
137,SCHULTZ,"Yes sir, I do."
138,ABBIE,You alright?
139,JERRY,I was until I saw this.
140,ABBIE,Most of them are on our side.
141,CROWD MEMBER,"(shouting) We love you, Abbie!"
142,ABBIE,Jesus Christ. How did you do that?
143,JERRY,Experience.
144,ABBIE,"You don't know what to do with the egg now, do you."
145,JERRY,No.
146,KUNSTLER,"Hang on, quiet down please. I want you all to meet a new addition to the defense team, this is Leonard Weinglass, one of this country's most talented First Amendment litigators."
147,REPORTER,"Bill, can you tell us--"
148,KUNSTLER,"(quieting the others) Go ahead, Sy."
149,SY,Can you tell us the status of Charles Garry?
150,KUNSTLER,Charles Garry is still in the hospital and you should contact his office for information. Marjorie.
151,MARJORIE,Does that mean you're representing Bobby Seale today?
152,KUNSTLER,"It's very important that it be understood that for his own protection, I am not acting as Bobby Seale's attorney today. One more. Jack."
153,JACK,"Bill, I was told that it was Hayden who wanted to bring Mr. Weinglass in. That Hayden has concerns about your seriousness."
154,KUNSTLER,Well-- 24.
155,WEINGLASS,"This is William Kunstler. You want to find out how serious he is, meet him at a witness stand."
156,KUNSTLER,"Thank you, ladies and gentlemen."
157,FROINES,Weiner.
158,WEINER,Yeah.
159,FROINES,"I get why they're trying to smoke Abbie and Jerry and Hayden, even Rennie and Dellinger, but for the life of me I can't figure out what the two of us are doing here."
160,WEINER,I feel exactly the same way. But this is the Academy Awards of protest and as far as I'm concerned it's an honor just to be nominated.
161,TOM,What is that? 25.
162,RENNIE,I've been keeping a list every day. Americans who've been killed since the day we were arrested.
163,TOM,Why?
164,RENNIE,With the trial starting it might get easy to forget who this is about.
165,KUNSTLER,Fellas.
166,RENNIE,Good morning.
167,WEINGLASS,Good morning.
168,TOM,Good morning.
169,KUNSTLER,"(quietly to TOM) I just got a question about my seriousness. Whatever's going on between you and Abbie, keep it out of this building."
170,TOM,I just feel like this is gearing up to be--
171,KUNSTLER,Fred. 26.
172,FRED,Bill.
173,KUNSTLER,(quietly) Did you have breakfast this morning?
174,BOBBY,(pause) What?
175,KUNSTLER,Did you have breakfast?
176,BOBBY,I did.
177,KUNSTLER,What'd you have?
178,FRED,What are you doing?
179,KUNSTLER,I'm talking to him about breakfast because that's the only thing I'm allowed to talk to him about.
180,FRED,That's right.
181,KUNSTLER,Bobby--
182,FRED,We have instructions from our lawyer.
183,KUNSTLER,"If you need me I'm sitting right there. You just look at me and say, ""I need you""."
184,FRED,We don't need you.
185,BOBBY,You two gonna be like this? 27.
186,KUNSTLER,"(to BOBBY, re: the African- Americans in the gallery) They shouldn't sit together. The jury's not gonna like that look."
187,BOBBY,"This isn't my jury. And if they don't like the look, they can--"
188,FRED,"No, he's right. (to the group) Spread out, okay? In pairs."
189,KUNSTLER,And Fred?
190,BOBBY,"No, they're dressed just fine."
191,FRED,It's alright. (to the group) Take your very scary hats off. (back to KUNSTLER) Don't mess us up.
192,KUNSTLER,"Alright, good pep talk."
193,ABBIE,You see the crowd out there?
194,JERRY,I have an egg.
195,KUNSTLER,Get rid of that.
196,JERRY,You don't think I want to?
197,ABBIE,"It's like we're, you know, whatshisname, we just met him. 28."
198,JERRY,Yeah.
199,ABBIE,(beat) What is his name?
200,JERRY,Who?
201,ABBIE,The drummer. The greatest drummer ever.
202,JERRY,Gene Krupa?
203,ABBIE,"No, I'm talkin' about--Gene Krupa?-- I'm talkin' about the drummer for Cream, we just met him last night."
204,JERRY,Ginger Baker.
205,ABBIE,"Thank you. The crowd outside is so big it's as if we're Ginger Baker, is what I was trying to say."
206,KUNSTLER,Are you stoned?
207,ABBIE,Yeah. You?
208,KUNSTLER,(quietly) You remember what I said.
209,TOM,"Okay, and you remember to keep us out of prison."
210,KUNSTLER,A lot of good advice this morning.
211,BAILIFF,All rise! 29.
212,BAILIFF,"Hear yea, hear yea. September 26, 1969, 10 o'clock A.M. All persons having business before the United States District Court of Northern Illinois, Southern District, Eastern Division draw near and they shall be heard. Judge Julius Hoffman presiding. God save the United States of America and this Honorable Court."
213,JUDGE HOFFMAN,"Mr. Marshal, bring in our jury."
214,JUDGE HOFFMAN,"As I look out into the gallery I see we have a full house. Some of you started forming a line early this morning. I'll caution you that this isn't a sporting event. Let the record show that we've been joined by our twelve jurors and four alternates. Mrs. Winter, please call the case."
215,MRS. WINTER,"69 CR 180, United States of America vs. David Dellinger, Rennard C. Davis, Thomas Hayden, Abbott Hoffman, Jerry C. Rubin, Lee Weiner, John R. Froines and Bobby G. Seale for trial."
216,JUDGE HOFFMAN,Are the People ready to make opening arguments?
217,SCHULTZ,"(standing) We are, Your Honor."
218,BOBBY,I don't have my lawyer here.
219,JUDGE HOFFMAN,It's not your turn to speak.
220,BOBBY,My trial's begun without my lawyer.
221,JUDGE HOFFMAN,Please sit. Mr. Schultz?
222,SCHULTZ,"Good morning, my name is Richard Schultz and I'm an Assistant U.S. Attorney for the Southern District of Illinois. Seated at my table is my boss, U.S. Attorney Thomas Foran. I guess you could say I'm seated at his table. At the defense table are the eight defendants represented by their lawyers, William Kunstler and Leonard Weinglass. The defendants would tell you they represent three different groups. They would tell you that one group--"
223,JUDGE HOFFMAN,Excuse me.
224,SCHULTZ,Yes sir.
225,JUDGE HOFFMAN,"I'd like to clarify something for the jurors. There are two Hoffmans in this courtroom. The defendant, Abbie Hoffman, and myself, Judge Julius Hoffman."
226,SCHULTZ,"Thank you, sir."
227,JUDGE HOFFMAN,I didn't want there to be confusion on the matter. 31.
228,ABBIE,"Man, I don't think there's much chance they're going to mix us up."
229,JUDGE HOFFMAN,You will address this Court as Judge or Your Honor and you will not address this Court until--you will not address this Court.
230,SCHULTZ,The defendants would tell you they represent three different groups.
231,JUDGE HOFFMAN,And the record should reflect that defendant Hoffman and I aren't related.
232,ABBIE,Father no!
233,JUDGE HOFFMAN,"Mr. Hoffman, are you familiar with contempt of court?"
234,ABBIE,"It's practically a religion for me, sir."
235,SCHULTZ,(pause) Your Honor?
236,JUDGE HOFFMAN,Continue.
237,SCHULTZ,Rennie Davis and Tom Hayden are the leaders of the SDS--Students for a Democratic Society. Hayden and Davis brought their people to Chicago for the purpose of causing violence in the streets in order to disrupt the Democratic Convention. You know the Youth International Party as the Yippies. Their leaders are Abbie Hoffman and Jerry Rubin. (MORE) 32.
238,SCHULTZ,"Bobby Seale is the leader of the Black Panther Party. The defendants would tell you these are three distinct groups, but they're all--"
239,BOBBY,(standing) Excuse me.
240,JUDGE HOFFMAN,Yes?
241,BOBBY,May I speak?
242,JUDGE HOFFMAN,No sir.
243,BOBBY,He just said my name.
244,JUDGE HOFFMAN,"You're a defendant in this case, you're likely to hear your name."
245,BOBBY,I have a right to counsel and His Honor knows that.
246,JUDGE HOFFMAN,Don't tell the Court what it does and doesn't know. Be seated.
247,JUDGE HOFFMAN,Mr. Schultz.
248,SCHULTZ,"...the radical left, that's all. They're the radical left in different costumes. The eight defendants had a plan. A plan among two or more people is a conspiracy. The defendants crossed state lines to execute their plan, that's why we're in federal court. The plan was to incite a riot. And there's one thing you already know. They succeeded. 33."
249,KUNSTLER,"Sir, it's not a tactic. At the moment, the defendants are the only ones on record as knowing their own names."
250,JUDGE HOFFMAN,"Be seated, Mr. Schultz. (correcting himself) Mr. Kunstler."
251,BOBBY,(standing) I object to being characterized as a member of this group.
252,JUDGE HOFFMAN,Who is your lawyer?
253,BOBBY,Charles R. Garry.
254,JUDGE HOFFMAN,Is Mr. Garry here today?
255,BOBBY,No he's not.
256,KUNSTLER,Your Honor--
257,JUDGE HOFFMAN,Are you representing Mr. Seale?
258,KUNSTLER,No sir.
259,JUDGE HOFFMAN,"Then sit. Mr. Schultz, forgive me, have you concluded your opening statement?"
260,SCHULTZ,"Yes, Your Honor."
261,BOBBY,"My lawyer, Charles Garry, is in a hospital in Oakland having undergone gallbladder surgery. 35."
262,JUDGE HOFFMAN,"Mr. Kunstler, you're sitting right next to the man, just represent him. It's the same case."
263,KUNSTLER,The fact that there's a lawyer near Mr. Seale doesn't satisfy the requirements of due process.
264,BOBBY,I have a right--
265,KUNSTLER,(putting his hand up to BOBBY) A motion was made for postponement due to Mr. Garry's medical condition. I was there. Your Honor denied that motion and therefore Mr. Seale is here without legal representation.
266,JUDGE HOFFMAN,"I don't care for your general tone, Mr. Kunstler."
267,KUNSTLER,"I meant no disrespect to the Court, sir. I'm trying to be clear that I can't muddy Mr. Seale's grounds for appeal by appearing to speak as his lawyer."
268,JUDGE HOFFMAN,"I don't ask you to compromise Mr. Seale's position, sir, but I will not permit him to address the jury with his very competent lawyer seated--"
269,JERRY,"Jesus Christ, for the fourth time, he's not Bobby's lawyer!"
270,JUDGE HOFFMAN,You're Mr. Rubin?
271,JERRY,Yes sir. 36.
272,JUDGE HOFFMAN,Don't ever do that again.
273,BOBBY,"Your Honor, I'm not with these guys. I never even met most of them until--"
274,JUDGE HOFFMAN,We'll have order.
275,BOBBY,--the indictment.
276,JUDGE HOFFMAN,We will have order.
277,BOBBY,"There are eight of us and there are signs out there that say ""Free the Chicago 7""--I'm not with them."
278,JUDGE HOFFMAN,"Mr. Marshal, will you seat Mr. Seale?"
279,BOBBY,"You're saying it's a conspiracy. I never met most of them until the indictment. Speaking frankly, the U.S. Attorney wanted a Negro defendant to scare the jury. I was thrown in to make the group look scarier. I came to Chicago, I gave a speech, I had a chicken pot pie, went to the airport and flew back to Oakland and that's why they call the eight of us the Chicago-- (to the MARSHAL) --get your hands off me."
280,JUDGE HOFFMAN,Charge Mr. Seale with one count of Contempt of Court.
281,TOM,We have to make a decision right now--a decision I just assumed we'd already made four months ago when trial prep began. Are we using this trial to defend ourselves against very serious charges that could land us in prison for 10 years or are we using it to say a pointless fuck you to the establishment?
282,JERRY,Fuck you.
283,TOM,"That's what I was afraid--Wait, I don't know if you were saying ""fuck you"" or answering the question."
284,ABBIE,I was also confused.
285,JERRY,"If we leave here without saying anything about why we came in the first place, it'll be heartbreaking."
286,TOM,If the jury finds us guilty we're not gonna be leaving here at all. And the only thing we need to say about why we came is that it wasn't to incite violence.
287,DAVE,I'm with Jerry.
288,TOM,(beat) Why?
