Begin,dissapear,Content,speaker
"01:24:59,692","01:25:01,859",about seeking indictments against my clients?,KUNSTLER
"01:25:01,942","01:25:03,775",- He can't answer that. - Why not?,HOWARD
"01:25:03,859","01:25:04,859",It's against the law.,HOWARD
"01:25:04,942","01:25:08,025",That's an overly broad interpretation of the law.,WEINGLASS
"01:25:10,067","01:25:12,275","We've dealt with jury tampering, wiretapping,",KUNSTLER
"01:25:12,359","01:25:14,525","a defendant that was literally gagged,",KUNSTLER
"01:25:17,359","01:25:19,609",that would be considered wrong in Honduras.,KUNSTLER
"01:25:19,692","01:25:23,900",So I'm a little less interested in the law than I was when this trial began.,KUNSTLER
"01:25:23,984","01:25:29,359","Well, whether you like the law or not, as former AG, he is protected by it.",HOWARD
"01:25:32,150","01:25:34,817","And with respect, sir, I can subpoena you.",KUNSTLER
"01:25:34,900","01:25:37,734",Find a judge in this circuit who will sign that subpoena.,HOWARD
"01:25:37,817","01:25:41,567",He's right. And taking the stand voluntarily would be a big risk for me.,CLARK
"01:25:43,984","01:25:47,359",my clients take a much bigger risk when they...,KUNSTLER
"01:25:54,650","01:25:57,067",I'm sorry. What took me so long to do what?,KUNSTLER
"01:25:57,150","01:25:59,109",To realize I'm your star witness.,CLARK
"01:26:02,025","01:26:04,692",- We were remarking upon that ourselves-- - Bill...,KUNSTLER
"01:26:04,775","01:26:05,984",He can't testify.,HOWARD
"01:26:08,525","01:26:11,192","And if John Mitchell wants to cut me in half,",CLARK
"01:26:11,275","01:26:12,900",he can and he will.,WEINGLASS
"01:26:15,734","01:26:17,900","Sir, you have to find some courage now...",TOM
"01:26:19,192","01:26:21,942",- And-- - Find some courage? Yeah.,CLARK
"01:26:22,025","01:26:24,692",Yes. You have to find some courage and--,TOM
"01:26:24,775","01:26:25,775",Tom.,HOWARD
"01:26:24,775","01:26:25,775",Tom.,WEINGLASS
"01:26:29,567","01:26:32,025","That's what those two men came to tell me,",CLARK
"01:26:32,109","01:26:36,067","that if John Mitchell wants to cut me in half, he can and he will.",CLARK
"01:26:41,692","01:26:43,025","""When do you want me in court?""",CLARK
"01:26:45,817","01:26:46,942",Mr. Clark?,HOWARD
"01:26:49,109","01:26:50,442","Swear me in, Bill.",CLARK
"01:26:50,525","01:26:54,984","It is against the law for you to testify, Ramsey. It is as simple as that.",HOWARD
"01:26:55,775","01:26:57,067",It's General Clark.,CLARK
"01:26:57,775","01:26:59,942",And arrest me or shut the fuck up.,CLARK
"01:27:08,484","01:27:11,025","Your Honor, the People move to disallow this witness.",SCHULTZ
"01:27:14,150","01:27:16,109",Code of federal regulations mandates,SCHULTZ
"01:27:18,567","01:27:21,609","is prohibited without prior knowledge of the attorney general,",SCHULTZ
"01:27:21,692","01:27:24,650","plainly meaning the sitting attorney general,",SCHULTZ
"01:27:24,734","01:27:27,567","who is John Mitchell, who has denied his approval.",SCHULTZ
"01:27:27,650","01:27:32,525","Judge, the rule refers only to very specific documents and information.",WEINGLASS
"01:27:32,609","01:27:36,317","If the regulation were interpreted as Mr. Schultz is asking it to be,",WEINGLASS
"01:27:36,400","01:27:38,234",nobody in the federal government,WEINGLASS
"01:27:38,317","01:27:41,734",could ever testify in any trial after they left their job.,WEINGLASS
"01:27:43,859","01:27:46,567",I think the government is at least justified,JUDGE HOFFMAN
"01:27:46,650","01:27:50,150","in asking the defense to demonstrate, by voir dire,",JUDGE HOFFMAN
"01:27:50,234","01:27:53,067",the testimony it expects to elicit from the witness.,JUDGE HOFFMAN
"01:27:53,150","01:27:56,900","You'd like us to question the witness, this witness,",KUNSTLER
"01:27:59,900","01:28:04,400","If I find any of the testimony relevant, I'll call the jury back in to hear it.",JUDGE HOFFMAN
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,CLARK
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,KUNSTLER
"01:28:10,442","01:28:12,734",Defense calls Ramsey Clark.,KUNSTLER
"01:28:25,817","01:28:26,900",State your name.,BAILIFF
"01:28:30,692","01:28:33,234","will be the truth, the whole truth and nothing but the truth?",BAILIFF
"01:28:37,275","01:28:42,692","Mr. Clark, what was your occupation in the summer of 1968?",KUNSTLER
"01:28:42,775","01:28:45,150",I was the attorney general of the United States.,CLARK
"01:28:45,234","01:28:47,775",- You were appointed by President Johnson? - Yes.,KUNSTLER
"01:29:34,859","01:29:36,109","Excuse me, sir?",JUDGE HOFFMAN
"01:29:36,692","01:29:39,734",The president isn't a client of the attorney general.,CLARK
"01:29:44,359","01:29:47,817",Hearing from the witness on this point is highly irregular.,SCHULTZ
"01:29:55,817","01:29:59,484","But the witness is the former, uh...",JUDGE HOFFMAN
"01:29:59,567","01:30:03,150","He's just stated his willingness, you know,",JUDGE HOFFMAN
"01:30:03,234","01:30:07,275","so, for the purposes of voir dire, I'll hear the answer.",JUDGE HOFFMAN
"01:30:16,400","01:30:19,984",The president asked me if I intended to seek any indictments,CLARK
"01:30:24,400","01:30:25,900",And what did you tell him?,KUNSTLER
"01:30:25,984","01:30:28,567",I told him we wouldn't be seeking indictments.,CLARK
"01:30:28,650","01:30:30,192",And can you tell us why?,KUNSTLER
"01:30:30,275","01:30:34,692",An investigation by our criminal division led to the conclusion,CLARK
"01:31:17,067","01:31:18,609",and the sitting attorney general.,KUNSTLER
"01:31:23,317","01:31:24,150",Mr. Kunstler.,JUDGE HOFFMAN
"01:31:40,234","01:31:42,275","the one that matters, came to a new conclusion.",SCHULTZ
"01:31:42,359","01:31:46,150","Therefore, motivation of the prosecution has to be called into question.",KUNSTLER
"01:31:46,234","01:31:49,734",The motivation of the prosecution is not an issue in a courtroom.,SCHULTZ
"01:31:49,817","01:31:53,734","In any courtroom I've ever been in, except this one.",KUNSTLER
"01:31:57,525","01:32:01,567","that will demonstrate that this witness will make a material contribution,",JUDGE HOFFMAN
"01:32:10,234","01:32:13,442",You're not gonna let the jury hear his testimony.,RENNIE
"01:32:10,234","01:32:13,442",You're not gonna let the jury hear his testimony.,KUNSTLER
"01:32:16,109","01:32:18,817","which you have not thus far done, that this witness--",JUDGE HOFFMAN
"01:32:18,900","01:32:22,025",- Are you any good? - Are you addressing the court reporter?,JUDGE HOFFMAN
"01:32:23,650","01:32:25,359",Is this prosecution politically motivated?,KUNSTLER
"01:32:27,025","01:32:29,109",President Nixon inherited an unpopular war.,KUNSTLER
"01:32:29,192","01:32:30,442","- Yes. - Step down, Mr. Clark.",JUDGE HOFFMAN
"01:32:30,525","01:32:32,859",And your clients make it more unpopular every day.,CLARK
"01:32:32,942","01:32:37,609","This administration is paranoid about the SDS, the Mobe, the New Left...",KUNSTLER
"01:32:40,359","01:32:44,775","Please, sir. I will be forced to find you in contempt.",JUDGE HOFFMAN
"01:32:49,234","01:32:50,234","I do, Your Honor.",KUNSTLER
"01:32:49,234","01:32:50,234","I do, Your Honor.",CLARK
"01:32:56,275","01:32:57,442","Thank you, sir.",SCHULTZ
"01:32:56,275","01:32:57,442","Thank you, sir.",KUNSTLER
"01:33:18,525","01:33:21,234","Your Honor, when the jury returns,",KUNSTLER
"01:33:22,400","01:33:26,234",will they be informed that the defense had called,KUNSTLER
"01:33:29,484","01:33:33,234",but this court ruled that he couldn't testify?,KUNSTLER
"01:33:34,025","01:33:36,234","No, that motion will be denied.",JUDGE HOFFMAN
"01:33:56,025","01:33:59,567",Cite Mr. Kunstler with his third count of contempt.,JUDGE HOFFMAN
"01:34:05,859","01:34:07,109",You're a thug.,DAVE
"01:34:07,192","01:34:09,400",Did one of the defendants speak?,JUDGE HOFFMAN
"01:34:09,484","01:34:13,275","I did. I said you're a thug, because you are.",DAVE
"01:34:13,359","01:34:15,109","- Dave. - Please sit, Mr. Dellinger.",JUDGE HOFFMAN
"01:34:17,734","01:34:19,359","Marshals, seat the defendant.",JUDGE HOFFMAN
"01:34:19,442","01:34:22,734","If we're guilty, which you have clearly decided--",DAVE
"01:34:32,984","01:34:34,942","If we're guilty, why not give us a trial?",DAVE
"01:34:32,984","01:34:34,942","If we're guilty, why not give us a trial?",DAVE
"01:34:35,025","01:34:38,525","I mean, I have sat here for six months and watched you!",DAVE
"01:34:38,609","01:34:40,942",You don't need to grab my arm.,DAVE
"01:35:08,025","01:35:09,067",I'm sorry.,DAVE
"01:35:49,567","01:35:52,275","Tomorrow, we go into court and get ourselves arrested.",JERRY
"01:35:53,192","01:35:54,525",We're already arrested.,TOM
"01:35:55,234","01:35:57,525",Is Bill talking to you about taking the stand?,JERRY
"01:35:58,150","01:36:01,025",The press guys are saying Bill's been talking to you about it.,JERRY
"01:36:01,109","01:36:02,442",He's been talking about it.,TOM
"01:36:02,525","01:36:05,817",He thinks you might get the crowd worked up with a position paper?,JERRY
"01:36:05,900","01:36:09,400",Maybe he thinks I won't try to get the crowd worked up at all.,TOM
"01:36:09,984","01:36:13,650",Maybe he thinks there are jurors who relied on the safety of the police,TOM
"01:36:13,734","01:36:15,900","and are put off when someone calls them pigs,",TOM
"01:36:15,984","01:36:18,400",or maybe he wants a witness who dresses like a grown man.,TOM
"01:36:18,484","01:36:24,025",The cops in this city in the summer of 1968 were pigs.,JERRY
"01:36:24,609","01:36:26,734",I wonder how many of them had kids in Vietnam.,TOM
"01:36:28,609","01:36:30,442","He's gonna take the stand, not you?",JERRY
"01:36:33,900","01:36:34,734",Abbie?,JERRY
"01:36:34,817","01:36:37,692","What did you mean, the last thing I want is to end the war?",ABBIE
"01:36:53,609","01:36:54,942",What did you mean by that?,DAVE
"01:36:57,567","01:36:58,650",Yeah...,JERRY
"01:36:57,567","01:36:58,650",Yeah...,WEINGLASS
"01:37:44,400","01:37:48,484","Equality, justice, education, poverty and progress, they're second?",ABBIE
"01:37:58,817","01:38:01,400","Okay, so, uh, Jerry was talking about standing--",RENNIE
"01:38:04,067","01:38:05,567",We don't have any money.,ABBIE
"01:38:09,900","01:38:13,567",and it's astonishing that someone still has to explain that to you.,TOM
"01:38:09,900","01:38:13,567",and it's astonishing that someone still has to explain that to you.,ABBIE
"01:38:13,650","01:38:16,192",You're trading a cow for magic beans.,TOM
"01:38:16,275","01:38:17,859",That ended up working.,JERRY
"01:38:23,900","01:38:27,317",I can't remember what happened after that. The little boy may have gotten eaten--,JERRY
"01:38:27,400","01:38:29,109",The giant turned out to be nice.,FROINES
"01:38:31,275","01:38:33,900",It's hard to believe the seven of us weren't able to end a war.,WEINER
"01:38:33,984","01:38:35,109",Let me ask you something...,ABBIE
"01:38:35,192","01:38:36,442",You guys should shake hands.,RENNIE
"01:38:36,525","01:38:39,859",Think Chicago would've gone differently if Kennedy got the nomination?,ABBIE
"01:38:43,609","01:38:46,692","Yes, I do. I think the Irish guys would have sat down with Daley,",TOM
"01:38:47,942","01:38:49,734",- I think so too. - Yeah?,ABBIE
"01:38:49,817","01:38:51,025",That's why I was wondering.,ABBIE
"01:38:51,942","01:38:54,192",Weren't you just a little bit happy,ABBIE
"01:38:54,275","01:38:57,067",when the bullet ripped through his head?,ABBIE
"01:38:57,900","01:39:01,067","No Chicago, no Tom Hayden.",ABBIE
"01:39:10,150","01:39:13,650",Think about that the next time you shrug off cultural revolution.,ABBIE
"01:39:15,359","01:39:18,025","We define winning differently, you and I.",ABBIE
"01:39:22,609","01:39:26,109","Tom tried to beat me up, but through sheer force of intellectual superiority--",ABBIE
"01:39:26,192","01:39:29,067",Stop talking. Just stop talking.,KUNSTLER
"01:39:35,192","01:39:37,525",It was given to them by somebody in the crowd.,KUNSTLER
"01:39:37,609","01:39:40,234","No foul play, there are affidavits.",KUNSTLER
"01:39:42,984","01:39:43,984",What's on the tape?,DELUCA
"01:39:42,984","01:39:43,984",What's on the tape?,TOM
"01:39:44,067","01:39:47,025",The sound of you starting the Chicago riot.,KUNSTLER
"01:39:49,317","01:39:50,317",Hey. What?,BOBBY
"01:39:52,817","01:39:56,067",Somebody had a tape recorder by the bandshell. They got you saying it.,KUNSTLER
"01:40:28,442","01:40:30,775",Sure. I'll show you what my answers will sound like.,TOM
"01:40:30,859","01:40:34,400","They called him a radical, they called him a criminal!",DAVE
"01:40:38,025","01:40:41,275","First of all, it turned out the guy climbing the flagpole was a kid.",TOM
"01:40:41,359","01:40:44,734",It seems like you guys attract an awful lot of underage minors.,KUNSTLER
"01:40:48,734","01:40:51,025",who have the most to lose by this war continuing.,TOM
"01:40:51,109","01:40:53,025",I'm glad you brought that up. Did you serve?,KUNSTLER
"01:40:53,109","01:40:55,775",I wasn't drafted. I didn't try to evade the...,TOM
"01:40:58,817","01:41:01,150","I did not volunteer to kill Vietnamese people, no.",TOM
"01:41:01,234","01:41:05,359",You testified you saw at least six policemen start to go after the man...,KUNSTLER
"01:41:08,150","01:41:09,400",- Yes. - It was dark.,TOM
"01:41:09,484","01:41:12,650","You were 100 yards away. What do you have, telescopic night-vision?",KUNSTLER
"01:41:12,734","01:41:13,984",There were floodlights.,TOM
"01:41:18,275","01:41:24,025",that ignominious distinction goes to those who mouth America's values,DAVE
"01:41:24,900","01:41:27,192","while breaking America's heart.""",DAVE
"01:41:29,025","01:41:31,067",I'd like to introduce you now,DAVE
"01:41:36,275","01:41:39,025","Hey, it's all right. He's a kid. We'll get him down.",RENNIE
"01:41:50,025","01:41:51,317","Hey, leave the kid alone!",RENNIE
"01:41:55,484","01:41:57,484",Rennie was trying to get the police off of the kid.,TOM
"01:41:57,567","01:41:59,025","""Get the police off of the kid.""",KUNSTLER
"01:42:00,109","01:42:01,817",- He was-- - Grabbing them?,KUNSTLER
"01:42:04,317","01:42:07,609",I'd like to say to the cops back there that we're allowed to be here.,FROINES
"01:42:12,317","01:42:15,775",It was six armed police officers versus Rennie and a pocket protector.,TOM
"01:42:17,484","01:42:19,525",How about your response? Let's press play.,KUNSTLER
"01:42:29,192","01:42:31,859",Listen. We can still get everyone out of here safely.,DAVE
"01:42:31,942","01:42:33,234","No, we can't.",TOM
"01:42:39,109","01:42:42,317",Dellinger tried to stop you from saying what you were about to say.,KUNSTLER
"01:42:42,400","01:42:43,775",Tell them to stay calm.,DELUCA
"01:42:42,400","01:42:43,775",Tell them to stay calm.,DAVE
"01:42:47,567","01:42:49,817",- Tom? - Did you tell 'em to stay calm?,KUNSTLER
"01:42:49,900","01:42:54,942","Wait, Rennie Davis has just been beaten by the police.",TOM
"01:42:55,025","01:42:58,484",Rennie's skull has been cracked open.,TOM
"01:43:01,150","01:43:04,359","I'm Richard Schultz, Tom. And John Mitchell told me to win.",KUNSTLER
"01:43:04,442","01:43:06,734",Did you tell your crowd to stay calm or--,KUNSTLER
"01:43:06,817","01:43:08,525",Yes. If blood is gonna flow...,TOM
"01:43:08,609","01:43:10,900",...let it flow all over the city!,TOM
"01:43:13,525","01:43:15,984",let it come down all over Chicago!,TOM
"01:43:16,067","01:43:18,900",We're going to the convention! Let's get on the streets!,TOM
"01:43:18,984","01:43:20,609",Get on the street!,TOM
"01:43:26,067","01:43:28,942","What was that, an order to start a peaceful demonstration?",KUNSTLER
"01:43:34,692","01:43:37,609","Once you had a moment to settle down, did you try and stop people?",KUNSTLER
"01:43:59,275","01:44:02,317",- You didn't try and stop anyone. - No.,KUNSTLER
"01:44:02,400","01:44:06,359",The bridges! Head to the bridges! The bridges!,TOM
"01:44:06,442","01:44:08,525",You told them to go to the footbridges.,KUNSTLER
"01:44:08,609","01:44:12,192",The ones able to make it out of the park without getting arrested or maimed.,TOM
"01:44:12,275","01:44:14,859","And those people, the ones you sent to the footbridges,",KUNSTLER
"01:44:26,775","01:44:28,942",All access to the convention was blocked.,KUNSTLER
"01:44:32,900","01:44:35,484",Jeeps fitted with concertina wire called Daley dozers.,TOM
"01:44:39,775","01:44:42,817",Let's find out. Were glass bottles thrown at the police?,KUNSTLER
"01:44:49,025","01:44:51,900",Some people threw bottles. Dave was trying to shut it down.,TOM
"01:44:53,900","01:44:56,692","So you, Abbie, Jerry and 11 others eluded the police.",KUNSTLER
"01:44:56,775","01:44:59,400",I wouldn't say we eluded them. We were fleeing from them.,TOM
"01:44:59,484","01:45:00,942",Found an unguarded bridge...,KUNSTLER
"01:45:05,817","01:45:07,734",Now here's where things got weird.,ABBIE
"01:45:07,817","01:45:11,734","You, Abbie, Jerry and 11 others found the only way to the convention.",KUNSTLER
"01:45:12,484","01:45:15,275","In the lobby of the Hilton, right next to the convention center,",ABBIE
"01:45:15,359","01:45:17,775",is a bar called the Haymarket Tavern.,ABBIE
"01:45:21,192","01:45:23,609",for Chicago's political class and their hookers.,ABBIE
"01:45:25,817","01:45:30,192",And the place was packed to watch Humphrey getting the nomination a mile away.,ABBIE
"01:45:38,567","01:45:41,234","The great state of Ohio, the Buckeye State--",DELEGATE
"01:45:41,317","01:45:42,567",The Buckeye State!,PATRONS
"01:45:43,484","01:45:47,609",One side of the Haymarket Tavern is a picture window with smoked glass.,ABBIE
"01:45:50,859","01:45:52,484","You made it through the riot police,",KUNSTLER
"01:45:52,567","01:45:55,650","tear gas, the National Guard, you're in sight of the convention center.",KUNSTLER
"01:46:06,234","01:46:08,317",We were trapped between the window and the police.,TOM
"01:46:08,400","01:46:09,734",What's another word for trapped?,KUNSTLER
"01:46:08,400","01:46:09,734",What's another word for trapped?,KUNSTLER
"01:46:16,984","01:46:19,859","Inside the bar, it's like the '60s never happened.",ABBIE
"01:46:19,942","01:46:23,359","Outside the bar, the '60s were being performed",ABBIE
"01:46:23,442","01:46:25,234",for anyone who looked out of the window.,ABBIE
"01:46:26,025","01:46:27,567",Anyone know what a buckeye is?,BAR PATRON #1
"01:46:28,984","01:46:31,359",A buckeye is a nut. A poisonous nut.,BAR PATRON #2
"01:46:31,442","01:46:32,650",Hey.,JERRY
"01:46:31,442","01:46:32,650",Hey.,TOM
"01:46:35,942","01:46:38,609",Am I the only one who sees what's going on out there?,WOMAN
"01:46:38,692","01:46:42,150",And we see a cop do something you don't ever wanna see a cop do.,ABBIE
"01:46:47,859","01:46:52,859","'60s outside the bar, '50s inside the bar.",ABBIE
"01:46:57,067","01:46:58,067",It's a nut.,KUNSTLER
"01:46:57,067","01:46:58,067",It's a nut.,BAR PATRON #2
"01:47:02,609","01:47:04,109",Were you resisting arrest?,KUNSTLER
"01:47:04,192","01:47:07,359",- They pushed us through the window! - You overrun the riot police...,TOM
"01:47:09,025","01:47:13,025",Over 400 people admitted to area hospitals with severe injuries!,KUNSTLER
"01:47:17,984","01:47:21,400",We were trying to protest peacefully at the fucking convention!,KUNSTLER
"01:47:35,692","01:47:37,359",Hands behind your back.,POLICEMAN
"01:47:42,984","01:47:44,775","Who started the riot, Tom?",KUNSTLER
"01:47:55,984","01:47:56,984",Our...,TOM
"01:48:07,900","01:48:09,567","You meant to say,",KUNSTLER
"01:48:10,525","01:48:13,984","""If our blood is gonna flow, then let it flow all over the city.""",ABBIE
"01:48:15,567","01:48:19,109","You were saying, ""If they're gonna beat us up, everyone should see it.""",ABBIE
"01:48:24,525","01:48:25,775",Jesus Christ!,STAHL
"01:48:24,525","01:48:25,775",Jesus Christ!,RENNIE
"01:48:25,859","01:48:28,859","You do this... He does this, it's a pattern.",ABBIE
"01:48:38,317","01:48:40,234",You read the Port Huron Statement?,TOM
"01:48:40,317","01:48:41,984",I've read everything you've published.,ABBIE
"01:48:46,984","01:48:49,275",- Except for the possessive pronouns. - I know.,ABBIE
"01:48:49,359","01:48:50,984",And the vague noun modifiers.,ABBIE
"01:49:00,984","01:49:02,567",Put Abbie on the stand instead.,TOM
"01:49:06,150","01:49:08,984","Would you state your full name for the record, please?",SCHULTZ
"01:49:06,150","01:49:08,984","Would you state your full name for the record, please?",JUDGE HOFFMAN
"01:49:09,567","01:49:10,567",It's Abbie.,ABBIE
"01:49:11,192","01:49:12,192",Last name.,RENNIE
"01:49:11,192","01:49:12,192",Last name.,JUDGE HOFFMAN
"01:49:12,817","01:49:14,859","My grandfather's name was Shaboysnakoff,",ABBIE
"01:49:14,942","01:49:18,025","but he was a Russian Jew protesting anti-Semitism,",ABBIE
"01:49:18,109","01:49:21,275",so he was assigned a name that would sound like yours.,ABBIE
"01:49:22,067","01:49:23,859",What is your date of birth?,JUDGE HOFFMAN
"01:49:23,942","01:49:26,359","Psychologically, 1960.",ABBIE
"01:49:26,442","01:49:29,234",What were you doing until 1960?,JUDGE HOFFMAN
"01:49:29,317","01:49:32,484",Nothing. I believe it's called an American education.,ABBIE
"01:49:33,775","01:49:36,650",Why don't we just proceed with the testimony?,JUDGE HOFFMANE
"01:49:37,984","01:49:40,859","Abbie, do you know why you're on trial here?",KUNSTLER
"01:49:42,150","01:49:45,025",We carried certain ideas across state lines.,ABBIE
"01:49:49,192","01:49:50,400",Ideas.,KUNSTLER
"01:49:51,442","01:49:54,150",When we crossed from New York to New Jersey to Pennsylvania,ABBIE
"01:50:21,567","01:50:25,109","And if Lincoln had given that speech in Lincoln Park last summer,",ABBIE
"01:50:27,484","01:50:31,942","So how do you overthrow or dismember, as you say, your government peacefully?",KUNSTLER
"01:50:32,817","01:50:35,192","In this country, we do it every four years.",ABBIE
"01:50:37,234","01:50:38,275",That's all.,KUNSTLER
"01:50:47,442","01:50:53,067",So Chicago was just a massive voter registration drive.,SCHULTZ
"01:50:53,150","01:50:55,900",Yeah.,ABBIE
"01:50:56,484","01:50:59,067",Did you hear the tape we played of Tom Hayden?,SCHULTZ
"01:50:59,150","01:51:00,692",- Yes. - You heard the tape?,SCHULTZ
"01:51:59,067","01:52:00,067",Jerry Rubin.,SCOTT
"01:52:03,859","01:52:05,317",It was Jesus Christ.,KUNSTLER
"01:52:38,859","01:52:40,400",Please answer the question.,TOM
"01:53:02,817","01:53:06,150",that your plans for the convention were designed specifically,SCHULTZ
"01:53:08,734","01:53:11,609","If I'd known it was gonna be the first wish of mine that came true,",ABBIE
"01:53:15,067","01:53:18,567",were you hoping for a confrontation with the police?,SCHULTZ
"01:53:29,817","01:53:31,525",I'm concerned you have to think about it.,SCHULTZ
"01:53:34,734","01:53:37,359",I've never been on trial for my thoughts before.,ABBIE
"01:54:28,817","01:54:32,150",United States of America vs. David Dellinger et al.,BAILIFF
"01:54:42,859","01:54:46,442","The law requires that before sentencing,",JUDGE HOFFMAN
"01:54:59,859","01:55:01,775",the group has chosen Mr. Hayden.,JUDGE HOFFMAN
"01:55:24,609","01:55:30,775",I truly believe that one day you will be a very productive part of our system.,JUDGE HOFFMAN
"01:55:31,650","01:55:36,900",I'd like you to make your statement brief and without political content of any kind.,JUDGE HOFFMAN
"01:55:45,192","01:55:49,150",I will look favorably upon that when administering my sentence.,JUDGE HOFFMAN
"01:55:55,275","01:55:56,359",Mr. Hayden?,JANE
"01:55:55,275","01:55:56,359",Mr. Hayden?,JUDGE HOFFMAN
"01:55:59,025","01:56:01,942",- You'll look favorably in sentencing. - Yes.,TOM
"01:56:03,650","01:56:07,067",If I make my statement respectful and remorseful.,TOM
"01:56:11,567","01:56:13,817","I'm sorry, Your Honor, what was the third one?",TOM
"01:56:15,942","01:56:16,942",Brief.,JUDGE HOFFMAN
"01:56:19,609","01:56:22,942","If I do these things, my government will look favorably on me.",TOM
"01:56:23,025","01:56:24,234",You understand?,JUDGE HOFFMAN
"01:56:27,900","01:56:29,150",Please begin.,JUDGE HOFFMAN
"01:56:30,775","01:56:31,775",Okay.,ABBIE
"01:56:33,692","01:56:36,442","Your Honor, since this trial began,",TOM
"01:56:38,109","01:56:42,400","4,752 US troops have been killed in Vietnam.",TOM
"01:56:45,109","01:56:48,150",And the following... are their names.,TOM
"01:57:06,567","01:57:09,109","5,000 names for the record!",JUDGE HOFFMAN
"01:57:13,525","01:57:16,400","""Staff Sergeant David Cruz Chavez, 31 years old.""",TOM
"01:57:45,525","01:57:47,109",There will be order!,JUDGE HOFFMAN
"01:58:13,275","01:58:17,150","""Corporal Kenneth Joe Auston, 18 years old.""",TOM
"01:58:29,900","01:58:31,567","Let's show 'em some respect, sir.",SCHULTZ
"02:00:15,359","02:00:16,359",Sit down!,JERRY
"02:00:15,359","02:00:16,359",Sit down!,DAVE
